origin,intersect_forest,touch_forest,contain_forest,overlap_forest,distance_forest,intersect_grassland,touch_grassland,contain_grassland,overlap_grassland,distance_grassland,intersect_industry,touch_industry,contain_industry,overlap_industry,distance_industry,intersect_lake,touch_lake,contain_lake,overlap_lake,distance_lake,intersect_residential,touch_residential,contain_residential,overlap_residential,distance_residential,intersect_river,touch_river,contain_river,overlap_river,distance_river
River_918.tif,0,0,0,0,0.0783090382683056,0,0,0,0,0.0233524021303877,0,0,0,0,0.0391803547689258,0,0,0,0,0.1001167167282455,0,0,0,0,0.0307115532308837,0,0,0,0,0.0391682234731478
SeaLake_1739.tif,0,0,0,0,0.0056756586784332,0,0,0,0,0.0848593361237848,0,0,0,0,0.1401193651819279,0,0,0,0,0.0844445406084388,0,0,0,0,0.043101150249157,0,0,0,0,0.0768463124016265
SeaLake_1366.tif,0,0,0,0,0.0151587467129256,0,0,0,0,0.0980875482811394,0,0,0,0,0.0371247091804521,0,0,0,0,0.0963044061900937,0,0,0,0,0.0068025052342006,0,0,0,0,0.023259991503
River_713.tif,0,0,0,0,0.0078154370496365,0,0,0,0,0.0222711743517623,0,0,0,0,0.0327961336104554,0,0,0,0,0.1599076753963044,0,0,0,0,0.052979947144751,0,0,0,0,0.0556259023730542
SeaLake_271.tif,0,0,0,0,0.0492593360348208,0,0,0,0,0.1657986725232423,0,0,0,0,0.0389374841215932,0,0,0,0,0.0939024141872338,0,0,0,0,0.0361510135709234,0,0,0,0,0.0538477824017496
SeaLake_35.tif,0,0,0,0,0.0139984094644078,0,0,0,0,0.0541944149515087,0,0,0,0,0.0582186208800298,0,0,0,0,0.2243828341134051,0,0,0,0,0.0197224244318162,0,0,0,0,0.0343360707741903
River_864.tif,0,0,0,0,0.0088660177849426,0,0,0,0,0.2672533894049677,0,0,0,0,0.1489813718155665,0,0,0,0,0.2961554770588195,0,0,0,0,0.0772654080757846,1,0,0,1,0.0
River_2481.tif,0,0,0,0,0.0193016887432858,0,0,0,0,0.0194659926468999,0,0,0,0,0.0574787566830714,0,0,0,0,0.1039351496352259,0,0,0,0,0.0199802239402506,0,0,0,0,0.0523438869297306
SeaLake_2808.tif,0,0,0,0,0.0017928162960065,0,0,0,0,0.2589354513277639,0,0,0,0,0.0601520110301111,1,0,0,1,0.0,0,0,0,0,0.0313134104689573,0,0,0,0,0.0830668101796652
SeaLake_2069.tif,0,0,0,0,0.0134239446175113,0,0,0,0,0.0472785978307193,0,0,0,0,0.016207165999964,0,0,0,0,0.2541851432969834,0,0,0,0,0.0371013101635238,0,0,0,0,0.2264906376608018
River_2447.tif,0,0,0,0,0.0215106383644428,0,0,0,0,0.022249926724227,0,0,0,0,0.064757722728203,0,0,0,0,0.7161374721497415,0,0,0,0,0.0122544015420484,0,0,0,0,0.050381408072286
SeaLake_1176.tif,0,0,0,0,0.0060716997267793,0,0,0,0,0.0410512912118439,0,0,0,0,0.0181222348052616,0,0,0,0,0.1215982463151847,0,0,0,0,0.0030973058646899,0,0,0,0,0.052922040312004
